id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
31742,Pebete,Pan,Eos,Pan y productos de panadería,214.0,g,5.0,2.6,42.0
31743,Torradas,Galleta,Eos,Pan y productos de panadería,220.0,g,6.0,3.33,40.0
31744,Grisines con salvado,Grisines,Eos,Pan y productos de panadería,236.67,g,7.67,3.67,43.33
31745,Grisines,,Eos,Pan y productos de panadería,240.0,g,6.67,0.0,50.0
31746,Pastas frescas rellenas:ravioles de ricota,,Eos,Pastas frescas rellenas,240.0,g,8.0,5.8,39.0
31747,Fideos frescos al huevo,,Eos,Pastas frescas sin relleno,292.0,g,9.0,5.8,51.0
31748,Pastas frescas rellanas : sorrentinos con jamon y queso,,Eos,Pastas frescas rellenas,250.0,g,14.0,9.6,27.0
31749,Pan de sandwich en rodajas,,Eos,Pan y productos de panadería,226.0,g,8.0,2.2,44.0
31750,Pan de sandwich con salvado en rodajas,,Eos,Pan y productos de panadería,212.0,g,8.0,2.2,40.0
31751,Pizza con salsa a base de zanahoria con tomate y remolacha,,Eos,Pan y productos de panadería,257.5,g,6.75,4.75,47.5
31752,Similar al frances,Pan,Eos,Pan y productos de panadería,256.0,g,7.4,1.6,52.0
31753,Horno,Tapa para empanadas,Eos,Pastas frescas sin relleno,136.67,g,5.67,10.33,4.33
31754,Freir,Tapa para empanadas,Eos,Pastas frescas sin relleno,90.0,g,6.0,5.0,4.67
31755,Tapa para pascualina,,Eos,Pastas frescas sin relleno,266.67,g,5.0,9.33,40.0
31756,Pan 5 semillas,Pan de molde con semillas. Congelado,Vitaltacc,Pan y productos de panadería,244.0,g,4.8,7.8,38.0
31757,Pasta fresca congelada ñoquis,,Vitaltacc,Pastas frescas sin relleno,155.0,g,3.3,2.2,30.0
31758,Pan para hamburguesa,Pan congelado,Vitaltacc,Pan y productos de panadería,218.0,g,4.6,5.8,36.0
31759,Pan para panchos,Pan de viena congelado,Vitaltacc,Pan y productos de panadería,220.0,g,4.6,5.8,38.0
31760,Pastas frescas rellenas congeladas agnolottis de verdura,,Vitaltacc,Pastas frescas rellenas,204.0,g,11.0,6.4,26.0
31761,Pastas frescas rellenas congeladas agnolottis de jamon y queso,,Vitaltacc,Pastas frescas rellenas,250.0,g,12.0,9.9,29.0
31762,Pastas frescas fideos congelados,,Vitaltacc,Pastas frescas sin relleno,260.0,g,9.7,4.4,46.0
31763,Pizzetas,Pizza con salsa de tomate congelada,Vitaltacc,Pan y productos de panadería,238.18,g,3.18,4.09,47.27
31764,Prepizzas,Pizza con salsa de tomate congelada,Vitaltacc,Pan y productos de panadería,248.89,g,3.33,4.22,50.0
31765,Pan de molde. Congelado,,Vitaltacc,Pan y productos de panadería,230.0,g,4.6,6.0,38.0
31766,Pasta frola de membrillo,,Vitaltacc,Pan y productos de panadería,327.5,g,1.25,8.75,62.5
31767,Galletitas dulces sabor vainilla cubiertas con chocolate,,Vitaltacc,Pan y productos de panadería,380.0,g,3.67,11.33,66.67
31768,Alfajor de dulce de leche y coco rallado,,Vitaltacc,Pan y productos de panadería,402.5,g,5.75,17.75,55.0
31769,Brownie,Torta de chocolate con nuez.,Vitaltacc,Pan y productos de panadería,430.0,g,6.25,24.75,47.5
31770,Tarta de coco con dulce de leche,,Vitaltacc,Pan y productos de panadería,352.5,g,4.75,10.25,57.5
31771,Pasta frola de batata,,Vitaltacc,Pan y productos de panadería,327.5,g,1.25,8.75,62.5
31772,Figacitas,Pan congelado,Vitaltacc,Pan y productos de panadería,188.0,g,4.0,5.0,32.0
31773,Masa de chipa de almidon congelada,Snack,Oma hahn's,Galletitas y bizcochos,320.0,g,7.4,16.2,36.0
31774,Criollito hojaldre supercongelado,Bizcocho salado supercongelado,Doré ultracongelados,Pan y productos de panadería,393.33,g,6.33,21.67,43.33
31775,Pre pizza,Pizza con salsa de tomate,Dore,Pan y productos de panadería,317.5,g,8.0,7.0,55.0
31776,Pan de miga,Pan de sandwich,Doré,Pan y productos de panadería,264.0,g,8.0,1.8,54.0
31777,Galleta supercongelada,,Doré ultracongelados,Pan y productos de panadería,284.0,g,8.2,3.2,56.0
31778,Pan baguette congelado,Masa congelada para pan con grasa,Dore ultracongelados,Pan y productos de panadería,272.0,g,8.0,2.4,54.0
31779,Grisines con queso,,Dore,Pan y productos de panadería,433.33,g,16.67,12.67,63.33
31780,Grisines,,Dore,Pan y productos de panadería,370.0,g,10.0,6.33,70.0
31781,Torradas,Bizcochos con 6% de grasas,Dore,Pan y productos de panadería,370.0,g,10.0,6.33,70.0
31782,Medialunas saladas,Facturas saladas supercongeladas,Dore ultracongelados,Pan y productos de panadería,490.0,g,8.25,23.25,60.0
31783,Tarta de ricota congelada,,Dore ultracongelados,Pan y productos de panadería,410.0,g,7.33,18.33,53.33
31784,Chipa extra queso supercongelado,Producto para copetín. Supercongelado. Chipa,Dore ultracongelados,Pan y productos de panadería,366.0,g,6.0,15.0,50.0
31785,Hojaldres jamón y queso supercongelados,Bizcochos de hojaldre relleno de jamon y queso supercogelado,Dore ultracongelados,Pan y productos de panadería,330.0,g,11.0,16.67,36.67
31786,Criollitos con queso supercongelado,Bizcocho con queso supercongelado,Dore ultracongelados,Pan y productos de panadería,466.67,g,16.33,28.33,36.67
31787,Pastas frescas rellenas: ravioles de jamon y queso,,Alfonsina,Pastas frescas rellenas,326.0,g,10.0,4.0,62.0
31788,Fecula de mandioca,,Silvina,Harinas / sémolas / almidones,340.0,g,0.0,0.0,85.0
31789,Horno,Tapas para empanadas,Doré,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31790,Freir,Tapas para empanadas,Doré,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
31791,Tapa para pascualina,,Doré,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31792,Medialunas dulces o vigilantes supercongelados,Facturas dulces supercongeladas,Dore ultracongelados,Pan y productos de panadería,392.5,g,7.0,19.0,50.0
31793,Pastas frescas rellenas: ravioles de ricota,,El condor,Pastas frescas rellenas,234.0,g,9.2,1.8,46.0
31794,Pastas frescas rellenas: ravioles de verdura,,El condor,Pastas frescas rellenas,234.0,g,9.2,1.8,46.0
31795,Pastas frescas rellenas: ravioles de pollo,,El condor,Pastas frescas rellenas,237.0,g,8.1,1.1,50.0
31796,Horno. Super tapas,Tapas para empanadas,El condor,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31797,Tapas para pastelitos,,El condor,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
31798,Tapas para pascualina,,El condor,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31799,Freir,Tapas para empanadas,El condor,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
